transaction_id,customer_id,age,gender,loyalty_member,product_type,sku,rating,order_status,payment_method,total_price,unit_price,quantity,purchase_date,shipping_type,add_ons_purchased,add_on_total,revenue
1,1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,Add ons,40.21,5578.54
2,1000,53,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,2024-04-20,Overnight,Add ons,26.09,767.1800000000001
3,1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,No Add ons,0.0,1855.84
4,1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,Add ons,60.16,3224.92
5,1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Add ons,35.56,77.06
6,1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,Add ons,65.78,148.78
7,1005,25,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,2024-01-30,Overnight,No Add ons,0.0,7603.47
8,1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,Add ons,75.33,4250.97
9,1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Add ons,43.05,5581.38
10,1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,No Add ons,0.0,4175.64
11,1006,24,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,2470.3,247.03,10,2024-06-25,Overnight,Add ons,90.38,2560.6800000000003
12,1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,Add ons,55.48,7176.19
13,1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,Add ons,65.85,3445.17
14,1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,Add ons,70.17,7982.07
15,1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2024-03-18,Overnight,Add ons,57.81,5596.14
